Name,Comedogenicity,Irritancy
Acetone,0,5
Acetylated Lanolin,4,0
Acetylated Lanolin Alcohol,4,2
Algae Extract,5,4
Algin,4,4
Allantoin,0,0
Almond Oil,2,0
Aloe Vera,0,0
Apricot Kernel Oil,2,0
Ascorbic Acid,0,0
Ascorbyl Palmitate,2,0
Avocado Oil,2,0
Benzoic Acid,2,3
Beta Carotene,1,0
Beeswax,2,0
Butyl Stearate,3,0
Butylene Glycol,1,0
Calendula,1,0
Camphor,2,2
Candelilla Wax,1,0
Capric Acid,2,2
Caprylic Acid,1,3
Carbomer,0,1
Carnuba Wax,1,0
Carrageenan,5,2
Cetearyl Alcohol,2,2
Cetyl Alcohol,2,2
Cocoa Butter,4,0
Coconut Butter,4,0
Coconut Oil,4,1
Colloidal Sulfur,3,4
Corn Oil,3,0
D&C Red #17,3,0
D&C Red #19,2,0
D&C Red #21,3,0
D&C Red #3,3,0
D&C Red #4,1,0
D&C Red #6,1,0
D&C Red #7,1,0
D&C Red #9,1,0
Dimethicone,1,0
Dioctyl Succinate,3,2
Emu Oil,0,0
Ethylparaben,0,0
Evening Primrose Oil,2,2
Glyceryl Stearate NSE,1,0
Glyceryl Stearate SE,3,2
Isocetyl Stearate,5,0
Isopropyl Alcohol,0,4
Isopropyl Isostearate,5,0
Isopropyl Myristate,5,3
Isopropyl Palmitate,4,0
Jojoba Oil,2,0
Lanolin Alcohol,2,0
Lanolin Oil,1,0
Lanolin Wax,1,0
Laureth 23,3,0
Laureth 4,5,4
Lauric Acid,4,1
Lithiumm Stearate,1,0
Magneseium Aluminum Silicate ,0,0
Magnesium Stearate,1,0
Myristic Acid,3,0
Octyl Palmitate,4,1
Octyl Stearate,5,5
Oleth-3,5,2
Oleth-10,2,1
Olive Oil,2,0
Papain,0,0
Peanut Oil,2,0
PEG 75 Lanolin,3,2
PEG 100 Stearate,1,0
PEG 16 Lanolin,4,3
PEG 8 Stearate,3,1
Palmitic Acid,2,0
Propylparaben,0,0
Polyethylene Glycol (PEG 400),1,0
Propylene Glycol Monostearate,4,0
Red Algea,5,2
Safflower Oil,2,0
Simethicone,1,0
Sodium Chloride,5,3
Sodium Hyaluronate,0,0
Sodium Laureth Sulfate,3,2
Sodium Lauryl Sulfate,5,2
Sodium PCA,0,0
Soybean Oil,3,0
Squalene,1,0
Stearic Acid,2,0
Stearyl Alcohol,2,2
Sulfated Castor Oil,3,2
Sulfated Jojoba Oil,3,2
Sunflower Oil,0,0
Syearyl Heptanoate,4,0
Talc,1,0
Tocopherol (Vitamin E),2,2
Vitamin A Palmitate,2,1
Wheat Germ Oil,5,2
Zinc Oxide,1,0